,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,3.2,3.2,50.0,0
1,1,500,4.8,4.8,50.0,0
2,2,750,3.0,3.0,50.0,0
3,3,1000,2.4,2.4,50.0,0
4,4,1250,0.0,0.0,50.0,0
5,5,1500,0.2,0.2,50.0,0
6,6,1750,2.0,2.0,50.0,0
7,7,2000,6.4,6.4,50.0,0
8,8,2250,2.4,2.4,50.0,0
9,9,2500,5.8,5.8,50.0,0
10,10,2750,1.0,1.0,50.0,0
11,11,3000,3.4,3.4,50.0,0
12,12,3250,0.0,0.0,50.0,0
13,13,3500,0.8,0.8,50.0,0
14,14,3750,1.4,1.4,50.0,0
15,15,4000,1.0,1.0,50.0,0
16,16,4250,1.2,1.2,50.0,0
17,17,4500,2.6,2.6,50.0,0
18,18,4750,3.8,3.8,50.0,0
19,19,5000,1.6,1.6,50.0,0
20,20,5250,10.0,10.0,50.0,0
21,21,5500,7.0,7.0,50.0,0
22,22,5750,5.0,5.0,50.0,0
23,23,6000,8.0,8.0,50.0,0
24,24,6250,8.4,8.4,50.0,0
25,25,6500,9.4,9.4,50.0,0
26,26,6750,13.2,13.2,50.0,0
27,27,7000,13.8,13.8,50.0,0
28,28,7250,9.4,9.4,50.0,0
29,29,7500,16.4,16.4,50.0,0
30,30,7750,7.6,7.6,50.0,0
31,31,8000,19.2,19.2,50.0,0
32,32,8250,16.8,16.8,50.0,0
33,33,8500,0.8,0.8,50.0,0
34,34,8750,10.4,10.4,50.0,0
35,35,9000,23.8,23.8,50.0,0
36,36,9250,24.6,24.6,50.0,0
37,37,9500,7.6,7.6,50.0,0
38,38,9750,17.0,17.0,50.0,0
39,39,10000,9.6,9.6,50.0,0
40,40,10250,25.8,25.8,50.0,0
41,41,10500,18.2,18.2,50.0,0
42,42,10750,20.0,20.0,50.0,0
43,43,11000,16.8,16.8,50.0,0
44,44,11250,18.0,18.0,50.0,0
45,45,11500,25.8,25.8,50.0,0
46,46,11750,26.6,26.6,50.0,0
47,47,12000,16.2,16.2,50.0,0
48,48,12250,23.0,23.0,50.0,0
49,49,12500,14.4,14.4,50.0,0
