,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.4,0.4,50.0,0
1,1,500,1.0,1.0,50.0,0
2,2,750,0.6,0.6,50.0,0
3,3,1000,1.4,1.4,50.0,0
4,4,1250,0.8,0.8,50.0,0
5,5,1500,0.0,0.0,50.0,0
6,6,1750,1.4,1.4,50.0,0
7,7,2000,3.0,3.0,50.0,0
8,8,2250,0.0,0.0,50.0,0
9,9,2500,0.6,0.6,50.0,0
10,10,2750,3.0,3.0,50.0,0
11,11,3000,1.4,1.4,50.0,0
12,12,3250,4.4,4.4,50.0,0
13,13,3500,3.6,3.6,50.0,0
14,14,3750,0.0,0.0,50.0,0
15,15,4000,0.2,0.2,50.0,0
16,16,4250,5.6,5.6,50.0,0
17,17,4500,0.6,0.6,50.0,0
18,18,4750,1.0,1.0,50.0,0
19,19,5000,3.8,3.8,50.0,0
20,20,5250,2.6,2.6,50.0,0
21,21,5500,3.2,3.2,50.0,0
22,22,5750,3.8,3.8,50.0,0
23,23,6000,5.2,5.2,50.0,0
24,24,6250,3.0,3.0,50.0,0
25,25,6500,4.0,4.0,50.0,0
26,26,6750,8.6,8.6,50.0,0
27,27,7000,5.6,5.6,50.0,0
28,28,7250,9.2,9.2,50.0,0
29,29,7500,6.0,6.0,50.0,0
30,30,7750,4.2,4.2,50.0,0
31,31,8000,5.0,5.0,50.0,0
32,32,8250,9.4,9.4,50.0,0
33,33,8500,3.4,3.4,50.0,0
34,34,8750,4.2,4.2,50.0,0
35,35,9000,5.0,5.0,50.0,0
36,36,9250,7.0,7.0,50.0,0
37,37,9500,1.6,1.6,50.0,0
38,38,9750,4.0,4.0,50.0,0
39,39,10000,1.2,1.2,50.0,0
40,40,10250,6.2,6.2,50.0,0
41,41,10500,10.0,10.0,50.0,0
42,42,10750,10.0,10.0,50.0,0
43,43,11000,7.4,7.4,50.0,0
44,44,11250,7.6,7.6,50.0,0
45,45,11500,5.2,5.2,50.0,0
46,46,11750,8.0,8.0,50.0,0
47,47,12000,7.8,7.8,50.0,0
48,48,12250,10.8,10.8,50.0,0
49,49,12500,6.8,6.8,50.0,0
